internal_id,external_id,subject,topic,difficulty,question_text,option_count,option_a,option_b,option_c,option_d,option_e,options_json,answer_index_zero_based,answer_letter,answer_text,explanation,explanation_status,diagram_url,audit_explicit_visual_hold,audit_hold_reason,source_id,source_slug,source_label,source_type,source_active,question_created_at
"1470001","BIO-OWNER-20260822-001","Biology","Living organisms and organization","medium","Which of the following is not a characteristic of living organisms?","4","Respiration","Growth","Excretion","Crystallization","","[""Respiration"",""Growth"",""Excretion"",""Crystallization""]","3","D","Crystallization","Living organisms carry out life processes such as respiration, growth, excretion, nutrition, movement, reproduction, sensitivity, and adaptation. Crystallization is a physical process in which particles form an organized solid structure; it does not require a living system. Some non-living substances can increase in size through crystal formation, but this is not biological growth. Therefore, crystallization is not a characteristic of life.","needs_review","","no","","23430001","authorised-1-1787420639375","Owner-supplied Biology segments · 22 Aug 2026","authorised","1","2026-08-22T17:43:59.000Z"
"1470002","BIO-OWNER-20260822-002","Biology","Living organisms and organization","medium","Which statement is consistent with cell theory?","4","Only animals are made of cells.","All living organisms are made up of one or more cells.","Cells arise spontaneously from non-living matter.","Cells do not contain hereditary material.","","[""Only animals are made of cells."",""All living organisms are made up of one or more cells."",""Cells arise spontaneously from non-living matter."",""Cells do not contain hereditary material.""]","1","B","All living organisms are made up of one or more cells.","Cell theory states that the cell is the basic structural and functional unit of life. It also teaches that all living organisms consist of one or more cells and that new cells arise from pre-existing cells. Therefore, option B is correct. Options A and D are false because both plants and animals have cells, and cells contain genetic material; option C contradicts the principle that cells come from existing cells.","needs_review","","no","","23430001","authorised-1-1787420639375","Owner-supplied Biology segments · 22 Aug 2026","authorised","1","2026-08-22T17:43:59.000Z"
"1470003","BIO-OWNER-20260822-003","Biology","Living organisms and organization","medium","The organelle responsible for controlling most activities of a cell is the","4","Cell wall","Nucleus","Vacuole","Ribosome","","[""Cell wall"",""Nucleus"",""Vacuole"",""Ribosome""]","1","B","Nucleus","The nucleus contains the cell’s genetic material and regulates many activities, including growth, metabolism, and reproduction. It acts like a control centre by directing the production of proteins and the expression of inherited information. The cell wall provides support, the vacuole stores substances, and ribosomes manufacture proteins. Although all these structures are important, the nucleus has the main coordinating role in a typical eukaryotic cell.","needs_review","","no","","23430001","authorised-1-1787420639375","Owner-supplied Biology segments · 22 Aug 2026","authorised","1","2026-08-22T17:43:59.000Z"
"1470004","BIO-OWNER-20260822-004","Biology","Living organisms and organization","medium","The main function of the mitochondrion is to","4","manufacture cellulose","produce energy through aerobic respiration","control the movement of water into the cell","store genetic information outside the nucleus","","[""manufacture cellulose"",""produce energy through aerobic respiration"",""control the movement of water into the cell"",""store genetic information outside the nucleus""]","1","B","produce energy through aerobic respiration","Mitochondria are the sites where most aerobic respiration occurs. During this process, energy stored in food molecules such as glucose is released and used to produce ATP, which powers cellular activities. The cell does not manufacture cellulose in mitochondria; cellulose is produced in plant cells through processes associated with cell-wall formation. Water movement is mainly related to osmosis across membranes, while most genetic information is stored in the nucleus.","needs_review","","no","","23430001","authorised-1-1787420639375","Owner-supplied Biology segments · 22 Aug 2026","authorised","1","2026-08-22T17:43:59.000Z"
"1470005","BIO-OWNER-20260822-005","Biology","Living organisms and organization","medium","Ribosomes are primarily responsible for","4","protein synthesis","photosynthesis","fat storage","cell movement","","[""protein synthesis"",""photosynthesis"",""fat storage"",""cell movement""]","0","A","protein synthesis","Ribosomes are the structures where amino acids are joined together to form proteins. They use information carried by messenger RNA to determine the order in which amino acids should be arranged. Proteins are needed for growth, enzymes, hormones, repair, and many other functions. Photosynthesis occurs in chloroplasts, while fat storage and cell movement involve other structures and processes.","needs_review","","no","","23430001","authorised-1-1787420639375","Owner-supplied Biology segments · 22 Aug 2026","authorised","1","2026-08-22T17:43:59.000Z"
"1470006","BIO-OWNER-20260822-006","Biology","Living organisms and organization","medium","Which structure is present in a typical plant cell but absent from an ordinary animal cell?","4","Cytoplasm","Cell membrane","Cell wall","Nucleus","","[""Cytoplasm"",""Cell membrane"",""Cell wall"",""Nucleus""]","2","C","Cell wall","Plant cells have a rigid cell wall made mainly of cellulose, which provides support, shape, and protection. Ordinary animal cells have a cell membrane but do not possess a cellulose cell wall. Both plant and animal cells contain cytoplasm, a cell membrane, and a nucleus, although their sizes and arrangements may differ. Chloroplasts and large permanent vacuoles are also characteristic of many plant cells.","needs_review","","no","","23430001","authorised-1-1787420639375","Owner-supplied Biology segments · 22 Aug 2026","authorised","1","2026-08-22T17:43:59.000Z"
"1470007","BIO-OWNER-20260822-007","Biology","Transport","medium","The cell membrane is described as selectively permeable because it","4","allows every substance to pass through freely","prevents all substances from entering","permits some substances to pass while restricting others","is made entirely of cellulose","","[""allows every substance to pass through freely"",""prevents all substances from entering"",""permits some substances to pass while restricting others"",""is made entirely of cellulose""]","2","C","permits some substances to pass while restricting others","A selectively permeable membrane controls the movement of materials into and out of a cell. Small molecules such as oxygen and carbon dioxide may pass by diffusion, while other substances require specific transport proteins or energy. The membrane does not allow everything through, nor does it block everything. It is mainly composed of a phospholipid bilayer with embedded proteins, not cellulose.","needs_review","","no","","23430001","authorised-1-1787420639375","Owner-supplied Biology segments · 22 Aug 2026","authorised","1","2026-08-22T17:43:59.000Z"
"1470008","BIO-OWNER-20260822-008","Biology","Transport","medium","Diffusion is the movement of particles from","4","a region of low concentration to a region of high concentration","a region of high concentration to a region of low concentration","the nucleus to the cytoplasm only","a solid to a liquid only","","[""a region of low concentration to a region of high concentration"",""a region of high concentration to a region of low concentration"",""the nucleus to the cytoplasm only"",""a solid to a liquid only""]","1","B","a region of high concentration to a region of low concentration","Diffusion is the net movement of particles down a concentration gradient, from an area where they are more concentrated to an area where they are less concentrated. It is a passive process, so the cell does not directly use metabolic energy for it. Diffusion occurs in gases and liquids and can occur across cell membranes when the membrane allows the particles to pass. The movement continues until the concentration becomes more evenly distributed.","needs_review","","no","","23430001","authorised-1-1787420639375","Owner-supplied Biology segments · 22 Aug 2026","authorised","1","2026-08-22T17:43:59.000Z"
"1470009","BIO-OWNER-20260822-009","Biology","Transport","medium","Osmosis is the movement of","4","solute particles through any membrane","water molecules through a selectively permeable membrane","proteins from low to high concentration","mineral salts through the cell wall only","","[""solute particles through any membrane"",""water molecules through a selectively permeable membrane"",""proteins from low to high concentration"",""mineral salts through the cell wall only""]","1","B","water molecules through a selectively permeable membrane","Osmosis is the net movement of water molecules through a selectively permeable membrane from a region of higher water potential to a region of lower water potential. In simple terms, water moves from a more dilute solution toward a more concentrated solution, provided the solute cannot cross the membrane freely. Osmosis is important in maintaining the water balance of plant and animal cells. It differs from diffusion because it specifically involves water moving through a selectively permeable membrane.","needs_review","","no","","23430001","authorised-1-1787420639375","Owner-supplied Biology segments · 22 Aug 2026","authorised","1","2026-08-22T17:43:59.000Z"
"1470010","BIO-OWNER-20260822-010","Biology","Transport","medium","When an animal cell is placed in a very concentrated salt solution, it will most likely","4","gain water and burst","lose water and shrink","remain unchanged because water cannot move","develop a cell wall","","[""gain water and burst"",""lose water and shrink"",""remain unchanged because water cannot move"",""develop a cell wall""]","1","B","lose water and shrink","A concentrated salt solution is hypertonic relative to the cell, meaning it has a lower water potential than the cell contents. Water therefore moves out of the animal cell by osmosis. As water leaves, the cell becomes smaller and may become wrinkled; this is called crenation in red blood cells. Unlike plant cells, animal cells have no rigid cell wall to prevent excessive shape change.","needs_review","","no","","23430001","authorised-1-1787420639375","Owner-supplied Biology segments · 22 Aug 2026","authorised","1","2026-08-22T17:43:59.000Z"
