"owner_profile_page","position_on_page","database_id","question_id","subject","topic","question","options","saved_answer","picture_status","student_status","picture_link_in_website","source","what_to_send_back"
"3","1","1170009","OWNER-BIO-DIAGRAM-2025-009","Biology","Adaptations of organisms","The structure labelled I is adapted for","A. tearing | B. sieving | C. boring | D. sucking","C. boring","Has picture","Held from students","/manus-storage/eff8e838-cc13-42a4-8eb6-72f5154f1e16_6298bc87.png","Owner-supplied Biology 2025 diagram questions · verified key and explanation","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"3","2","1200001","OWNER-CHEM-DIAGRAM-2026-001","Chemistry","Organic compounds","The IUPAC nomenclature of the structure shown is","A. 3-chloro-3-methylbutane | B. 2,2-dichloro-3-methylbutane | C. 3-methylchlorobutane | D. 2-chloro-2-methylbutane","D. 2-chloro-2-methylbutane","Has picture","Students can see","/manus-storage/owner-chem-diagram-2026-001_4bf2495e.png","Owner-supplied Chemistry diagram questions · verified key and explanation","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"3","3","1200002","OWNER-CHEM-DIAGRAM-2026-002","Chemistry","Organic compounds","The IUPAC name of the compound shown is","A. 3-methyl-3-bromobutane | B. 2-methyl-2-bromobutane | C. 2-bromo-2-methylbutane | D. 3-bromo-3-methylbutane","C. 2-bromo-2-methylbutane","Has picture","Students can see","/manus-storage/owner-chem-diagram-2026-002_05abca41.png","Owner-supplied Chemistry diagram questions · verified key and explanation","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"3","4","1200003","OWNER-CHEM-DIAGRAM-2026-003","Chemistry","Organic compounds","The IUPAC nomenclature of the compound shown is","A. propan-1-ol | B. butan-1-ol | C. 2-methylpropan-1-ol | D. 2-methylpropan-2-ol","D. 2-methylpropan-2-ol","Has picture","Students can see","/manus-storage/owner-chem-diagram-2026-003_7abfad28.png","Owner-supplied Chemistry diagram questions · verified key and explanation","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"3","5","1200004","OWNER-CHEM-DIAGRAM-2026-004","Chemistry","Energy changes","In the energy profile shown, y represents","A. endothermic reaction | B. activation energy | C. exothermic reaction | D. ionization energy","B. activation energy","Has picture","Students can see","/manus-storage/owner-chem-diagram-2026-004_4f0abed0.png","Owner-supplied Chemistry diagram questions · verified key and explanation","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"3","6","1200008","OWNER-CHEM-DIAGRAM-2026-008","Chemistry","Solubility","From the solubility graph, it can be inferred that","A. the solubility of X and Y is the same at all temperatures | B. the solubility of X, Y and Z is temperature dependent | C. the solubility of Z increases as temperature increases | D. the solubility of Y increases steadily as temperature increases","D. the solubility of Y increases steadily as temperature increases","Has picture","Students can see","/manus-storage/owner-chem-diagram-2026-008_10876a35.png","Owner-supplied Chemistry diagram questions · verified key and explanation","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"3","7","1200009","OWNER-CHEM-DIAGRAM-2026-009","Chemistry","Acids, bases and salts","In the formula table, the two compounds that combine in the presence of an acid catalyst to produce compound V are","A. I and IV | B. III and IV | C. I and II | D. II and III","A. I and IV","Has picture","Students can see","/manus-storage/owner-chem-diagram-2026-009-source-table_b66e3aaa.png","Owner-supplied Chemistry diagram questions · verified key and explanation","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"3","8","1260001","OWNER-PHY-DIAGRAM-2026-001","Physics","Current electricity","The value of R required to make the galvanometer measure voltage up to 40 V in the diagram above is","A. 1885 Ω | B. 1990 Ω | C. 1995 Ω | D. 1100 Ω","B. 1990 Ω","Has picture","Students can see","/manus-storage/owner-phy-diagram-2026-001_c873147e.png","Owner-supplied Physics diagram questions · verified key and explanation","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"3","9","1260002","OWNER-PHY-DIAGRAM-2026-002","Physics","Motion","The mechanical advantage of the wedge shown above is","A. 7.5 | B. 15.5 | C. 30.0 | D. 60.0","C. 30.0","Has picture","Students can see","/manus-storage/owner-phy-diagram-2026-002_2d4bb6c4.png","Owner-supplied Physics diagram questions · verified key and explanation","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"3","10","1260003","OWNER-PHY-DIAGRAM-2026-003","Physics","Current electricity","The electrical power developed in the resistor shown above is","A. 8 W | B. 64 W | C. 128 W | D. 256 W","C. 128 W","Has picture","Held from students","/manus-storage/owner-phy-diagram-2026-003-source-panel_50717966.png","Owner-supplied Physics diagram questions · verified key and explanation","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"3","11","1260004","OWNER-PHY-DIAGRAM-2026-004","Physics","Refraction","Given that SQ = 10 cm and SR = 6 cm, the refractive index of the glass block shown is","A. 1.67 | B. 0.60 | C. 0.30 | D. 2.33","A. 1.67","Has picture","Students can see","/manus-storage/owner-phy-diagram-2026-004_a53d4dee.png","Owner-supplied Physics diagram questions · verified key and explanation","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"3","12","1260005","OWNER-PHY-DIAGRAM-2026-005","Physics","Current electricity","Assuming E₁, E₂ and E₃ are equal, the total e.m.f. of the arrangement shown is given by","A. 1/E = (1/E₁ + 1/E₂) + E₃ | B. E = E₁ + E₂ + E₃ | C. 1/E = 1/E₁ + 1/E₂ + 1/E₃ | D. E = E₁ = E₂ = E₃","D. E = E₁ = E₂ = E₃","Has picture","Students can see","/manus-storage/owner-phy-diagram-2026-005-source-panel_63401d12.png","Owner-supplied Physics diagram questions · verified key and explanation","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"3","13","1260006","OWNER-PHY-DIAGRAM-2026-006","Physics","Motion","From the velocity-time graph shown, what distance is covered in the last stage of the motion?","A. 56 m | B. 24 m | C. 140 m | D. 46 m","B. 24 m","Has picture","Students can see","/manus-storage/owner-phy-diagram-2026-006_5649f749.png","Owner-supplied Physics diagram questions · verified key and explanation","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"3","14","1260007","OWNER-PHY-DIAGRAM-2026-007","Physics","Electrostatics","If a positively charged rod is brought close to the cap of the positively charged electroscope shown, the divergence of its leaves","A. is unchanged | B. increases | C. decreases | D. collapses","B. increases","Has picture","Students can see","/manus-storage/owner-phy-diagram-2026-007-source-panel_a3213b69.png","Owner-supplied Physics diagram questions · verified key and explanation","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"3","15","1260008","OWNER-PHY-DIAGRAM-2026-008","Physics","Motion","The acceleration of the body shown in the liquid is","A. 10.0 m/s² | B. 20.0 m/s² | C. 7.5 m/s² | D. 6.8 m/s²","C. 7.5 m/s²","Has picture","Students can see","/manus-storage/owner-phy-diagram-2026-008-source-panel_acaa185f.png","Owner-supplied Physics diagram questions · verified key and explanation","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"3","16","1260009","OWNER-PHY-DIAGRAM-2026-009","Physics","Motion","Using the oscillating simple pendulum shown, maximum kinetic energy is obtained at","A. Q | B. S | C. R | D. P","A. Q","Has picture","Students can see","/manus-storage/owner-phy-diagram-2026-009-362348_e25ad10d.png","Owner-supplied Physics diagram questions · verified key and explanation","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"3","17","1260010","OWNER-PHY-DIAGRAM-2026-010","Physics","Motion","The resultant of the forces shown is","A. 18.00 N | B. 5.00 N | C. 10.20 N | D. 3.15 N","B. 5.00 N","Has picture","Held from students","/manus-storage/owner-phy-diagram-2026-010-362357_9338dbb0.png","Owner-supplied Physics diagram questions · verified key and explanation","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"3","18","1260011","OWNER-PHY-DIAGRAM-2026-011","Physics","Refraction","From the diagram, the sine of the angle of refraction in the glass is","A. 0.4 | B. 0.3 | C. 0.2 | D. 0.1","B. 0.3","Has picture","Students can see","/manus-storage/owner-phy-diagram-2026-011_8c92e02b.png","Owner-supplied Physics diagram questions · verified key and explanation","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"3","19","1260012","OWNER-PHY-DIAGRAM-2026-012","Physics","Motion","From the uniform metre rule shown, calculate the tension T.","A. 11.25 N | B. 14.8 N | C. 19.24 N | D. 16.77 N","C. 19.24 N","Has picture","Students can see","/manus-storage/owner-phy-diagram-2026-012-362355_4edc4b09.png","Owner-supplied Physics diagram questions · verified key and explanation","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"3","20","1260013","OWNER-PHY-DIAGRAM-2026-013","Physics","Current electricity","From the circuit shown, calculate the impedance. (π = 22/7, f = 50 Hz)","A. 86.7 Ω | B. 163.5 Ω | C. 204.8 Ω | D. 16.3 Ω","B. 163.5 Ω","Has picture","Students can see","/manus-storage/owner-phy-diagram-2026-013-362349_1861e7a6.png","Owner-supplied Physics diagram questions · verified key and explanation","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"4","1","1260015","OWNER-PHY-DIAGRAM-2026-015","Physics","Magnets and magnetic fields","The diagram shows a magnetic field due to a","A. solenoid | B. circular coil | C. current-carrying straight conductor | D. Earth's meridian","C. current-carrying straight conductor","Has picture","Students can see","/manus-storage/owner-phy-diagram-2026-015-362356_2932f2f9.png","Owner-supplied Physics diagram questions · verified key and explanation","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"4","2","1320001","OWNER-BIO-DIAGRAM-2026-001","Biology","Living organisms and organization","The part labelled II in the colonial organism is","A. pellicle | B. cytoplasmic connections | C. flagella | D. cells","B. cytoplasmic connections","Has picture","Students can see","/manus-storage/owner-bio-diagram-2026-001_3bef7f9a.png","Owner-supplied final Biology image questions · verified key and explanation","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"4","3","1320002","OWNER-BIO-DIAGRAM-2026-002","Biology","Evolution and classification","Examples of non-vascular plants are labelled","A. I and II | B. I and III | C. II and III | D. II and IV","A. I and II","Has picture","Students can see","/manus-storage/owner-bio-diagram-2026-002_2c45f21e.png","Owner-supplied final Biology image questions · verified key and explanation","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"4","4","1320003","OWNER-BIO-DIAGRAM-2026-003","Biology","Heredity","Recombination of genes at fertilization is represented by the part labelled","A. I | B. II | C. III | D. IV","C. III","Has picture","Students can see","/manus-storage/owner-bio-diagram-2026-003_2ea09c29.png","Owner-supplied final Biology image questions · verified key and explanation","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"4","5","1320004","OWNER-BIO-DIAGRAM-2026-004","Biology","Plant and mammal structure","The plant diagram demonstrates","A. thigmotropism | B. phototropism | C. geotropism | D. hydrotropism","B. phototropism","Has picture","Students can see","/manus-storage/owner-bio-diagram-2026-004-362350_ba7ea7da.png","Owner-supplied final Biology image questions · verified key and explanation","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"4","6","1320005","OWNER-BIO-DIAGRAM-2026-005","Biology","Plant and mammal structure","The part labelled I in the pregnancy diagram is the","A. oviduct | B. placenta | C. amnion | D. uterus","A. oviduct","Has picture","Students can see","/manus-storage/owner-bio-diagram-2026-005_b6cb5eb5.png","Owner-supplied final Biology image questions · verified key and explanation","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"4","7","1320006","OWNER-BIO-DIAGRAM-2026-006","Biology","Plant and mammal structure","The experiment is set up to determine the presence of","A. chlorophyll | B. starch | C. oxygen | D. pigment","B. starch","Has picture","Students can see","/manus-storage/owner-bio-diagram-2026-006-362358_b0f056b0.png","Owner-supplied final Biology image questions · verified key and explanation","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"4","8","1320007","OWNER-BIO-DIAGRAM-2026-007","Biology","Living organisms and organization","The flower of plants belongs to the part labelled","A. I | B. II | C. III | D. IV","C. III","Has picture","Held from students","/manus-storage/owner-bio-diagram-2026-007-362365_1a78ecad.png","Owner-supplied final Biology image questions · verified key and explanation","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"4","9","1320008","OWNER-BIO-DIAGRAM-2026-008","Biology","Heredity","What is the genotypic ratio of the offspring produced in the F1 generation?","A. 2:1:1 | B. 1:2:1 | C. 2:2 | D. 3:1","B. 1:2:1","Has picture","Students can see","/manus-storage/owner-bio-diagram-2026-008_86cf9b66.png","Owner-supplied final Biology image questions · verified key and explanation","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"4","10","1320009","OWNER-BIO-DIAGRAM-2026-009","Biology","Support and movement","The part labelled III in the insect diagram is the","A. abdomen | B. head | C. maxillae | D. thorax","D. thorax","Has picture","Held from students","/manus-storage/owner-bio-diagram-2026-009_c356700b.png","Owner-supplied final Biology image questions · verified key and explanation","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"4","11","1320010","OWNER-BIO-DIAGRAM-2026-010","Biology","Excretion","The kidney shown in the diagram is responsible for","A. production of heat | B. osmoregulation | C. vasoconstriction | D. production of hormones","B. osmoregulation","Has picture","Students can see","/manus-storage/owner-bio-diagram-2026-010_ab48fbb8.png","Owner-supplied final Biology image questions · verified key and explanation","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"4","12","1320011","OWNER-BIO-DIAGRAM-2026-011","Biology","Living organisms and organization","The organelle that shows the organism has plant characteristics is labelled","A. I | B. II | C. III | D. IV","B. II","Has picture","Students can see","/manus-storage/owner-bio-diagram-2026-011_e81208ea.png","Owner-supplied final Biology image questions · verified key and explanation","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"4","13","1320012","OWNER-BIO-DIAGRAM-2026-012","Biology","Excretion","The diagram above is a","A. circulatory system | B. reproductive system | C. urinary system | D. nervous system","C. urinary system","Has picture","Students can see","/manus-storage/owner-bio-diagram-2026-012_dac267ec.png","Owner-supplied final Biology image questions · verified key and explanation","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"4","14","1320013","OWNER-BIO-DIAGRAM-2026-013","Biology","Evolution and classification","The organism shown in the diagram belongs to kingdom","A. Monera | B. Protista | C. Fungi | D. Animalia","B. Protista","Has picture","Students can see","/manus-storage/owner-bio-diagram-2026-013_d8c51504.png","Owner-supplied final Biology image questions · verified key and explanation","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"4","15","1350090","biology_0369","Biology","Nutrition and digestion","From the diagram above, The bile is stored in the part labelled","A. I | B. II | C. III | D. IV","B. II","Has picture","Students can see","/manus-storage/biology-0369-schoolngr-source-panel_aa1ec92c.png","Owner CSV questions_rows(3) · Clean supported release · Batch 01","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"4","16","1350105","biology_0386","Biology","Plant and mammal structure","From the diagram above the angle between the parts labelled II and III is the","A. bud | B. node | C. internode | D. axil","D. axil","Has picture","Students can see","/manus-storage/biology-0386-schoolngr-source-panel_50cbedfb.png","Owner CSV questions_rows(3) · Clean supported release · Batch 01","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"4","17","1350114","biology_0396","Biology","Natural habitats","From the diagram above the optimal temperature for breeding cockroaches is","A. 15 °C | B. 19 °C | C. 24 °C | D. 33 °C","C. 24 °C","Has picture","Students can see","/manus-storage/biology-0396-schoolngr-source-panel_658f04ef.png","Owner CSV questions_rows(3) · Clean supported release · Batch 01","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"4","18","1350117","biology_0402","Biology","Plant and mammal structure","From the diagram above the structure labelled I originates from the","A. liver | B. kidney | C. small intestine | D. stomach","B. kidney","Has picture","Students can see","/manus-storage/biology-0402-schoolngr-source-panel_2f306451.png","Owner CSV questions_rows(3) · Clean supported release · Batch 01","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"4","19","1350119","biology_0405","Biology","Reproduction","From the diagram above Birth control by vasectomy is achieved by severing the structure labelled","A. I | B. II | C. III | D. IV","C. III","Has picture","Students can see","/manus-storage/biology-0405-schoolngr-source-panel_9fb86380.png","Owner CSV questions_rows(3) · Clean supported release · Batch 01","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"4","20","1350127","biology_0413","Biology","Plant and mammal structure","From the diagram above the part labelled IV represents the","A. colon | B. ileum | C. caecum | D. duodenum","D. duodenum","Has picture","Students can see","/manus-storage/biology-0413-schoolngr-source-only-v2_75d0867c.png","Owner CSV questions_rows(3) · Clean supported release · Batch 01","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"5","1","1350134","biology_0420","Biology","Heredity","In the diagram, the part labelled I represents the","A. base pairs | B. ribose sugar | C. phosphate linkage | D. deoxyri-bose sugar","C. phosphate linkage","Needs picture","Held from students","","Owner CSV questions_rows(3) · Clean supported release · Batch 01","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"5","2","1350176","biology_0470","Biology","Reproduction","Use the diagram above to answer this question. The process illustrated is","A. gametogenesis | B. sporulation | C. sexual reproduction in Spirogyra | D. sexual reproduction in Rhizopus","D. sexual reproduction in Rhizopus","Has picture","Students can see","/manus-storage/biology-0483-testdriller-original_eb32af79.png","Owner CSV questions_rows(3) · Clean supported release · Batch 01","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"5","3","1350181","biology_0480","Biology","Heredity","Use the diagram above to answer this question. If the dogs are offspring of a monohybrid cross and the gene G for grey head is dominant over its allele g, the individual whose genotype is likely to be gg is","A. II | B. I | C. IV | D. III","C. IV","Has picture","Students can see","/manus-storage/biology-0480-testdriller-original_4eb6cef1.png","Owner CSV questions_rows(3) · Clean supported release · Batch 01","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"5","4","1350182","biology_0481","Biology","Transport","Use the diagram above to answer this question. The part labelled l is the","A. pulmonary artery | B. vena cava | C. aorta | D. bicuspid valve","B. vena cava","Needs picture","Held from students","","Owner CSV questions_rows(3) · Clean supported release · Batch 01","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"5","5","1350184","biology_0483","Biology","Theories of evolution","Use the diagram above to answer this question. The structure labelled l is the","A. sporangium | B. hypha | C. zygospore | D. conidiospore","C. zygospore","Has picture","Students can see","/manus-storage/biology-0483-testdriller-original_eb32af79.png","Owner CSV questions_rows(3) · Clean supported release · Batch 01","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"5","6","1350201","biology_0501","Biology","Reproduction","Use the diagram above to answer this question. The male inflorescence is labeled","A. i | B. ii | C. iii | D. iv","A. i","Has picture","Students can see","/manus-storage/biology-0501-testdriller-original_53441b7a.png","Owner CSV questions_rows(3) · Clean supported release · Batch 01","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"5","7","1350202","biology_0502","Biology","Reproduction","Use the diagram above to answer this question. The type of reproduction illustrated in IV is","A. sexual | B. conjugation | C. binary fission | D. budding","D. budding","Has picture","Students can see","/manus-storage/biology-0502-testdriller-original_eea7904a.png","Owner CSV questions_rows(3) · Clean supported release · Batch 01","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"5","8","1350205","biology_0505","Biology","Theories of evolution","Use the diagram above to answer this question. Which of the organisms is characterised by the possession of a chitinous exoskeleton?","A. I | B. II | C. III | D. IV","A. I","Has picture","Students can see","/manus-storage/biology-0502-testdriller-original_eea7904a.png","Owner CSV questions_rows(3) · Clean supported release · Batch 01","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
"5","9","1350214","biology_0515","Biology","Natural habitats","In the diagram, the part labelled IV indicated that the yeast population has","A. reached its maximum size | B. reached senescence | C. stopped metabolizing food | D. started dying","A. reached its maximum size","Needs picture","Held from students","","Owner CSV questions_rows(3) · Clean supported release · Batch 01","Tell me: keep, replace, or remove. If replacing, send the picture and this Question ID."
