source_page,subject,question_number,shared_figure_group,question_text,diagram_type,current_action,owner_review_request
3,Biology,13,BIO-P3-FIG-13-15,"The structure labelled 5 is the A. nucleolus B. Golgi body C. mitochondrion D. vacuole.",labelled cell diagram,"Hold for owner review; no picture changed","Please confirm the matching picture and answer key."
3,Biology,14,BIO-P3-FIG-13-15,"[OCR text is partly unclear] The cell contains [unclear phrase/options in source image].",labelled cell diagram,"Hold for owner review; no picture changed","Please send or identify the exact question image if this question needs replacement."
3,Biology,15,BIO-P3-FIG-13-15,"Which structure is known as the powerhouse of the cell? A. [labels/options are shown in the source figure].",labelled cell diagram,"Hold for owner review; no picture changed","Please confirm the figure labels used by this question."
3,Biology,16,BIO-P3-FIG-16-17,"Which of the following structures is associated with aerobic respiration? A. I B. II [remaining options use the figure labels].",labelled cell diagram,"Hold for owner review; no picture changed","Please confirm the real owner-supplied image and the correct label."
3,Biology,17,BIO-P3-FIG-16-17,"Question 17 uses the same figure as Question 16; the OCR text is partly obscured.",labelled cell diagram,"Hold for owner review; no picture changed","Please review the source image and tell me whether this question should stay."
3,Biology,31,BIO-P3-FIG-31-32,"The endoplasmic reticulum is represented by the part labelled A. I B. II C. III D. IV.",labelled cell diagram,"Hold for owner review; no picture changed","Please provide the matching picture if the current one is not yours."
3,Biology,32,BIO-P3-FIG-31-32,"The part labelled II is responsible for A. [unclear] B. respiration C. protein synthesis D. excretion.",labelled cell diagram,"Hold for owner review; no picture changed","Please verify the label and answer key from the picture."
3,Biology,37,BIO-P3-FIG-37-38,"Question 37 uses the diagram shown below; the OCR wording is partly obscured.",labelled cell diagram,"Hold for owner review; no picture changed","Please confirm the exact question and image."
3,Biology,38,BIO-P3-FIG-37-38,"The part labelled I is the A. [unclear] B. [unclear] C. endoplasmic reticulum [other options obscured].",labelled cell diagram,"Hold for owner review; no picture changed","Please confirm the diagram labels and answer key."
4,Biology,46,BIO-P4-FIG-46-47,"The organelle responsible for heredity is labelled A. I B. II C. III D. IV.",labelled cell diagram,"Hold for owner review; no picture changed","Please provide the correct owner image for this question."
4,Biology,47,BIO-P4-FIG-46-47,"The part labelled IV is the A. mitochondrion B. cell wall C. endoplasmic reticulum D. nucleus.",labelled cell diagram,"Hold for owner review; no picture changed","Please verify the picture and answer key."
5,Biology,11,BIO-P5-FIG-11-12,"After 20 minutes, the level of the solution in the above figure will be A. higher in X only B. higher in Y only C. the same in X and Y D. falling.",osmosis experiment,"Hold for owner review; no picture changed","Please send the matching owner picture and confirm the labels X and Y."
5,Biology,12,BIO-P5-FIG-11-12,"The process by which water moves from X to Y through a selectively permeable membrane is called A. diffusion B. osmosis C. active transport D. [unclear].",osmosis experiment,"Hold for owner review; no picture changed","Please confirm the exact figure and answer key."
4,Chemistry,47,CHEM-P4-SCHEME-47,"Changes in the physical state of a chemical substance are shown in the scheme below. The letters X and Y represent A. sublimation ... [remaining options are unclear in OCR].",state-change scheme,"Hold for owner review; no picture changed","Please review this scheme and send a clean owner image if it is not acceptable."
3,Physics,30,PHY-P3-VERNIER-30,"What is the reading of the vernier calipers shown above? A. 1.79 cm B. 1.73 cm C. 1.39 cm D. 1.34 cm.",vernier-caliper diagram,"Hold for owner review; no picture changed","Please provide the exact vernier-caliper picture and confirm the answer."
3,Physics,39,PHY-P3-VERNIER-39,"The length of a piece of glass block was measured by means of a vernier caliper as shown above. The length is A. 1.63 cm B. 1.64 cm C. 1.65 cm D. 1.66 cm.",vernier-caliper diagram,"Hold for owner review; no picture changed","Please confirm the matching picture and answer key."
4,Physics,41,PHY-P4-MICROMETER-41,"From the diagram above, the measuring accuracy of the micrometer screw gauge is A. 4.70 mm B. 4.78 mm C. 4.66 mm D. 4.16 mm.",micrometer-screw-gauge diagram,"Hold for owner review; no picture changed","Please send the real picture for this reading question."
5,Physics,3,PHY-P5-VTGRAPH-3,"The figure below shows a velocity-time graph of a car which starts from rest and is accelerated uniformly at 3 m/s² for 5 seconds; it then maintains the velocity for 1 minute and is retarded for another 3 seconds. Calculate the total [distance].",velocity-time graph,"Hold for owner review; no picture changed","Please confirm the graph and the exact intended answer options."
5,Physics,9,PHY-P5-DISTGRAPH-9,"Two cars leave Benin and Agbor at the same time; the distance-time graph shown is used to determine their meeting point and time.",distance-time graph,"Hold for owner review; no picture changed","Please confirm the graph image and whether this question should remain."
6,Physics,15,PHY-P6-ACCELGRAPH-15,"The graph above describes the motion of a particle. The acceleration of the particle during the motion is A. 0.00 m/s² B. 0.25 m/s² C. 4.00 m/s² D. 8.00 m/s² E. 10.00 m/s².",motion graph,"Hold for owner review; no picture changed","Please provide the matching graph and verify the answer."
6,Physics,19,PHY-P6-VTGRAPH-19,"The velocity-time graph above describes the motion of a particle between two points P and Q. What is the distance between P and Q?",velocity-time graph,"Hold for owner review; no picture changed","Please send the owner-approved graph for this question."
6,Physics,24,PHY-P6-DISPLACEMENTGRAPHS-24,"The figure above shows displacement-time graphs for three different motions. Which statement is correct?",displacement-time graphs,"Hold for owner review; no picture changed","Please confirm all three graph lines and the correct option."
6,Physics,25,PHY-P6-GRAPH-25,"Which of the following graphs represents motion with [the condition is partly obscured in OCR].",motion graph,"Hold for owner review; no picture changed","Please review the source page and identify the exact graph question."
6,Physics,29,PHY-P6-VTGRAPH-29,"The diagram above shows a velocity-time graph for the motion of a car. Find the total distance covered during the acceleration and retardation periods of the motion.",velocity-time graph,"Hold for owner review; no picture changed","Please provide the matching graph and verify the answer."
